# nruns = 10
# regions = False
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
2,0.5091836734693878,1416.2019302368165,340,172
2,0.49081632653061225,937.4717998504639,284,228
2,0.47244897959183674,314.43106536865236,246,266
2,0.45408163265306123,987.0608207702637,354,158
2,0.4357142857142857,1879.0536140441895,349,163
2,0.4173469387755102,1030.9841884613038,337,175
2,0.3989795918367347,2087.218862915039,306,206
2,0.3806122448979592,1422.0602878570558,314,198
2,0.3622448979591837,474.33804416656494,338,174
2,0.3438775510204082,485.78139820098875,242,270
2,0.32551020408163267,185.4199767112732,302,210
2,0.30714285714285716,375.8085018157959,317,195
2,0.28877551020408165,220.06505641937255,340,172
2,0.27040816326530615,299.3936061859131,343,169
2,0.25204081632653064,322.05548229217527,346,166
2,0.23367346938775513,456.19263181686404,337,175
2,0.21530612244897962,266.15348653793336,280,232
2,0.1969387755102041,296.41440076828,344,168
2,0.1785714285714286,149.7300060272217,334,178
2,0.1602040816326531,238.39392299652098,341,171
2,0.1418367346938776,224.52001926898956,314,198
2,0.12346938775510208,78.1151990890503,320,192
2,0.10510204081632657,117.32387437820435,308,204
2,0.08673469387755106,103.3524260520935,328,184
2,0.06836734693877555,87.4036714553833,320,192
2,0.05,78.12794594764709,332,180
3,0.95,106.09680005311967,99,413
3,0.9316326530612244,3479.7953765869142,256,256
3,0.9132653061224489,8210.606549072265,154,358
3,0.8948979591836734,8655.046444702148,118,394
3,0.8765306122448979,5639.029574584961,72,440
3,0.8581632653061224,10614.60285949707,56,456
3,0.8397959183673469,12447.028625488281,256,256
3,0.8214285714285714,3865.3246841430664,4,508
3,0.8030612244897959,8159.863439941406,250,262
3,0.7846938775510204,7963.949926757812,228,284
3,0.7663265306122449,3412.1539512634276,163,349
3,0.7479591836734694,2680.2779441833495,201,311
3,0.7295918367346939,17153.433056640624,182,330
3,0.7112244897959183,5003.238118743897,142,370
3,0.6928571428571428,7186.200336456299,304,208
3,0.6744897959183673,1591.7387519836425,200,312
3,0.6561224489795918,1751.4785083770753,254,258
3,0.6377551020408163,1100.7528465270996,282,230
3,0.6193877551020408,543.7365169525146,290,222
3,0.6010204081632653,972.3427514076233,302,210
3,0.5826530612244898,846.1517478942872,267,245
3,0.5642857142857143,1474.5276489257812,257,255
3,0.5459183673469388,1704.6638328552247,272,240
3,0.5275510204081633,3126.264882659912,239,273
3,0.5091836734693878,448.5912168502808,182,330
3,0.49081632653061225,1262.939316368103,251,261
3,0.47244897959183674,974.6977954864502,291,221
3,0.45408163265306123,1089.1343019485473,186,326
3,0.4357142857142857,2029.0295181274414,205,307
3,0.4173469387755102,1120.6295642852783,256,256
3,0.3989795918367347,379.66321449279786,220,292
3,0.3806122448979592,304.30167598724364,288,224
3,0.3622448979591837,912.8279030799865,292,220
3,0.3438775510204082,697.2664707183837,219,293
3,0.32551020408163267,750.0557786941529,220,292
3,0.30714285714285716,1126.045305633545,146,366
3,0.28877551020408165,2571.868147659302,228,284
3,0.27040816326530615,784.8454689025879,254,258
3,0.25204081632653064,1379.4210781097413,270,242
3,0.23367346938775513,875.7734748840332,307,205
3,0.21530612244897962,433.4894557952881,258,254
3,0.1969387755102041,542.1429254531861,270,242
3,0.1785714285714286,723.6634983062744,263,249
3,0.1602040816326531,530.9072960853576,288,224
3,0.1418367346938776,608.7974831342697,289,223
3,0.12346938775510208,765.8570919036865,288,224
3,0.10510204081632657,160.92318511009216,278,234
3,0.08673469387755106,424.14374828338623,276,236
3,0.06836734693877555,223.9884526371956,303,209
3,0.05,206.83630509376525,303,209
4,0.95,12.768808132410049,256,256
4,0.9316326530612244,6736.675732421875,256,256
4,0.9132653061224489,4855.611676025391,128,384
4,0.8948979591836734,16021.163891601562,256,256
4,0.8765306122448979,13695.81545639038,149,363
4,0.8581632653061224,4420.596399354935,128,384
4,0.8397959183673469,4742.002932739258,128,384
4,0.8214285714285714,15689.41912689209,128,384
4,0.8030612244897959,5068.448410797119,148,364
4,0.7846938775510204,4295.912243652344,186,326
4,0.7663265306122449,11484.377536010743,166,346
4,0.7479591836734694,9015.051977539062,242,270
4,0.7295918367346939,5710.563432693481,256,256
4,0.7112244897959183,2804.7123901367186,279,233
4,0.6928571428571428,3359.1830070495607,186,326
4,0.6744897959183673,9927.690602111816,131,381
4,0.6561224489795918,6880.080272674561,224,288
4,0.6377551020408163,10821.89754333496,212,300
4,0.6193877551020408,3433.6869518280027,271,241
4,0.6010204081632653,2573.898789215088,216,296
4,0.5826530612244898,3075.900924682617,252,260
4,0.5642857142857143,2655.8451919555664,287,225
4,0.5459183673469388,2754.2524795532227,215,297
4,0.5275510204081633,3136.3908782958983,228,284
4,0.5091836734693878,3933.0926727294923,143,369
4,0.49081632653061225,2553.6904441833494,181,331
4,0.47244897959183674,4713.678486633301,248,264
4,0.45408163265306123,4689.485952758789,302,210
4,0.4357142857142857,1780.4850952148438,222,290
4,0.4173469387755102,3364.400030517578,300,212
4,0.3989795918367347,1502.75157661438,262,250
4,0.3806122448979592,3409.569128417969,242,270
4,0.3622448979591837,4912.615951538086,293,219
4,0.3438775510204082,2185.043946838379,247,265
4,0.32551020408163267,2953.459365081787,222,290
4,0.30714285714285716,3025.355001831055,326,186
4,0.28877551020408165,3349.4765197753904,334,178
4,0.27040816326530615,1204.7214122772216,332,180
4,0.25204081632653064,2540.005822753906,352,160
4,0.23367346938775513,1027.7271984100341,295,217
4,0.21530612244897962,405.66601886749265,193,319
4,0.1969387755102041,2812.4679428100585,345,167
4,0.1785714285714286,1724.8454502105712,342,170
4,0.1602040816326531,1861.086171722412,331,181
4,0.1418367346938776,2537.451776123047,336,176
4,0.12346938775510208,2377.232711791992,332,180
4,0.10510204081632657,459.4449342727661,332,180
4,0.08673469387755106,679.5532295227051,339,173
4,0.06836734693877555,408.0450681686401,337,175
4,0.05,851.5521091461181,280,232
5,0.95,0.245654739998281,0,512
5,0.9316326530612244,464.788277849555,304,208
5,0.9132653061224489,118.01074647903442,270,242
5,0.8948979591836734,995.1535629272461,254,258
5,0.8765306122448979,3496.944865036011,316,196
5,0.8581632653061224,7370.848199462891,320,192
5,0.8397959183673469,2010.8946952819824,282,230
5,0.8214285714285714,1885.3364265441894,320,192
5,0.8030612244897959,2721.9814031600954,288,224
5,0.7846938775510204,2930.2306800842284,331,181
5,0.7663265306122449,1402.9514434814453,284,228
5,0.7479591836734694,1647.587882232666,303,209
5,0.7295918367346939,1104.5599464416505,322,190
5,0.7112244897959183,1042.0289192199707,318,194
5,0.6928571428571428,1200.790714263916,302,210
5,0.6744897959183673,1205.010614967346,301,211
5,0.6561224489795918,666.6625839233399,299,213
5,0.6377551020408163,517.2777988433838,290,222
5,0.6193877551020408,1151.5446426391602,278,234
5,0.6010204081632653,595.2793088912964,254,258
5,0.5826530612244898,1221.3586807250977,198,314
5,0.5642857142857143,2207.9452697753904,214,298
5,0.5459183673469388,990.8652645111084,306,206
5,0.5275510204081633,2140.5524490356447,286,226
5,0.5091836734693878,801.8166620254517,314,198
5,0.49081632653061225,492.92434253692625,286,226
5,0.47244897959183674,310.4077838897705,227,285
5,0.45408163265306123,714.0711029052734,296,216
5,0.4357142857142857,512.805068397522,356,156
5,0.4173469387755102,371.87448558807375,302,210
5,0.3989795918367347,120.17106509208679,278,234
5,0.3806122448979592,112.98987209796906,354,158
5,0.3622448979591837,370.63605937957766,308,204
5,0.3438775510204082,393.63493366241454,294,218
5,0.32551020408163267,171.3927119255066,318,194
5,0.30714285714285716,77.25137176513672,360,152
5,0.28877551020408165,346.33767051696776,320,192
5,0.27040816326530615,175.4110303878784,318,194
5,0.25204081632653064,164.95681257247924,315,197
5,0.23367346938775513,176.94624767303466,244,268
5,0.21530612244897962,148.70694150924683,348,164
5,0.1969387755102041,146.41801867485046,306,206
5,0.1785714285714286,228.66831694245337,322,190
5,0.1602040816326531,363.79801807403567,347,165
5,0.1418367346938776,161.29610738754272,338,174
5,0.12346938775510208,159.9635205745697,330,182
5,0.10510204081632657,128.17289471626282,336,176
5,0.08673469387755106,139.25251798629762,325,187
5,0.06836734693877555,208.7200017929077,350,162
5,0.05,114.74944658279419,354,158
6,0.95,13.209647297859192,98,414
6,0.9316326530612244,3761.4239288330077,256,256
