# nruns = 10
# regions = True
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
6,0.95,35.22962937504053,0,512
6,0.9316326530612244,6637.087274169922,256,256
6,0.9132653061224489,8466.438922119141,128,384
6,0.8948979591836734,4150.543928527832,128,384
6,0.8765306122448979,6260.56506652832,140,372
6,0.8581632653061224,8271.904193115235,115,397
6,0.8397959183673469,2286.3389099121096,98,414
6,0.8214285714285714,5164.058673095703,38,474
6,0.8030612244897959,4057.4296112060547,257,255
6,0.7846938775510204,4752.038739013672,242,270
6,0.7663265306122449,2549.965237426758,264,248
6,0.7479591836734694,3034.148811340332,312,200
6,0.7295918367346939,3529.7754707336426,305,207
6,0.7112244897959183,3532.268330383301,304,208
6,0.6928571428571428,1586.4836502075195,303,209
6,0.6744897959183673,1307.7551727294922,328,184
6,0.6561224489795918,2795.4191818237305,349,163
6,0.6377551020408163,1198.0177429199218,236,276
6,0.6193877551020408,2825.572006225586,308,204
6,0.6010204081632653,3054.7171531677245,316,196
6,0.5826530612244898,1442.6580505371094,304,208
6,0.5642857142857143,903.3822540283203,336,176
6,0.5459183673469388,690.6863430023193,306,206
6,0.5275510204081633,385.54575576782224,332,180
6,0.5091836734693878,240.39533042907715,313,199
6,0.49081632653061225,365.1490243911743,308,204
6,0.47244897959183674,303.1745300292969,346,166
6,0.45408163265306123,327.16581630706787,346,166
6,0.4357142857142857,548.5990913391113,346,166
6,0.4173469387755102,223.165873336792,365,147
6,0.3989795918367347,123.53277244567872,349,163
6,0.3806122448979592,132.6580452442169,352,160
6,0.3622448979591837,276.8567165851593,348,164
6,0.3438775510204082,323.78637008666993,368,144
6,0.32551020408163267,199.5526035308838,366,146
6,0.30714285714285716,224.79877192378044,366,146
6,0.28877551020408165,175.55335998535156,362,150
6,0.27040816326530615,133.05043478012084,368,144
6,0.25204081632653064,108.84964122772217,362,150
6,0.23367346938775513,89.09749870300293,368,144
6,0.21530612244897962,62.901771211624144,368,144
6,0.1969387755102041,84.41889486312866,368,144
6,0.1785714285714286,124.0931761264801,368,144
6,0.1602040816326531,53.6280077457428,368,144
6,0.1418367346938776,46.11819717884064,358,154
6,0.12346938775510208,111.48540472984314,356,156
6,0.10510204081632657,111.88521637916566,364,148
6,0.08673469387755106,103.20813121795655,366,146
6,0.06836734693877555,56.47846912145614,366,146
6,0.05,74.8573751449585,368,144
7,0.95,42.044950193166734,256,256
7,0.9316326530612244,4744.9385963439945,256,256
7,0.9132653061224489,6012.489175415039,248,264
7,0.8948979591836734,4423.084341430664,264,248
7,0.8765306122448979,3937.166897583008,242,270
7,0.8581632653061224,3256.5355087280273,144,368
7,0.8397959183673469,4943.220031738281,274,238
7,0.8214285714285714,3141.7401168823244,242,270
7,0.8030612244897959,3346.181100463867,195,317
7,0.7846938775510204,3842.6935150146483,224,288
7,0.7663265306122449,1324.5750354766847,304,208
7,0.7479591836734694,505.92875423431394,306,206
7,0.7295918367346939,1193.3619674682618,186,326
7,0.7112244897959183,582.1954060554505,312,200
7,0.6928571428571428,458.76953115463255,346,166
7,0.6744897959183673,261.23022537231446,358,154
7,0.6561224489795918,321.90623741149903,326,186
7,0.6377551020408163,211.86578426361083,341,171
7,0.6193877551020408,921.9745723724366,348,164
7,0.6010204081632653,428.42516412734983,356,156
7,0.5826530612244898,558.286370563507,368,144
7,0.5642857142857143,218.35952606201172,364,148
7,0.5459183673469388,180.2091471672058,342,170
7,0.5275510204081633,191.79624977111817,346,166
7,0.5091836734693878,208.48288395404816,346,166
7,0.49081632653061225,121.394122505188,333,179
7,0.47244897959183674,63.5920743227005,340,172
7,0.45408163265306123,80.53423519134522,360,152
7,0.4357142857142857,77.0453848361969,359,153
7,0.4173469387755102,78.89250752925872,334,178
7,0.3989795918367347,205.84856262207032,356,156
7,0.3806122448979592,68.20545983314514,360,152
7,0.3622448979591837,64.20609550476074,356,156
7,0.3438775510204082,152.76063237190246,367,145
7,0.32551020408163267,69.71499400138855,368,144
7,0.30714285714285716,69.32687797546387,363,149
7,0.28877551020408165,65.96464309692382,368,144
7,0.27040816326530615,55.6534908413887,365,147
7,0.25204081632653064,49.11469857692718,368,144
7,0.23367346938775513,92.81725509166718,367,145
7,0.21530612244897962,77.15498206615447,368,144
7,0.1969387755102041,67.62244460582733,368,144
7,0.1785714285714286,37.82486827373505,368,144
7,0.1602040816326531,57.28784918785095,367,145
7,0.1418367346938776,88.01927299499512,368,144
7,0.12346938775510208,48.66278402805328,368,144
7,0.10510204081632657,50.74046392440796,368,144
7,0.08673469387755106,91.45347683429718,368,144
7,0.06836734693877555,50.70686618089676,368,144
7,0.05,68.97891597747802,368,144
8,0.95,12.921595439314842,0,512
8,0.9316326530612244,3372.529586791992,256,256
8,0.9132653061224489,5866.14525756836,256,256
8,0.8948979591836734,5955.695703125,258,254
8,0.8765306122448979,6873.385455322265,293,219
8,0.8581632653061224,4693.965713500977,194,318
8,0.8397959183673469,5854.262295532227,104,408
8,0.8214285714285714,6455.313772583007,212,300
8,0.8030612244897959,5811.073107910156,142,370
8,0.7846938775510204,6146.406585693359,166,346
8,0.7663265306122449,3916.629788208008,200,312
8,0.7479591836734694,2144.680690765381,132,380
8,0.7295918367346939,3315.7353652954102,254,258
8,0.7112244897959183,2204.433477783203,318,194
8,0.6928571428571428,841.0891828536987,318,194
8,0.6744897959183673,688.7110549926758,260,252
8,0.6561224489795918,1039.0581993103028,322,190
8,0.6377551020408163,731.395369720459,344,168
8,0.6193877551020408,535.7171871185303,290,222
8,0.6010204081632653,261.2796537399292,310,202
8,0.5826530612244898,208.81058712005614,300,212
8,0.5642857142857143,156.68889884948732,340,172
8,0.5459183673469388,146.80821990966797,350,162
8,0.5275510204081633,140.35427284240723,360,152
8,0.5091836734693878,120.25658979415894,364,148
8,0.49081632653061225,122.52673301696777,323,189
8,0.47244897959183674,287.7868411064148,278,234
8,0.45408163265306123,131.66746225357056,291,221
8,0.4357142857142857,553.4025936126709,347,165
8,0.4173469387755102,435.0626385688782,356,156
8,0.3989795918367347,398.94185962677,360,152
8,0.3806122448979592,176.47410073280335,362,150
8,0.3622448979591837,158.53233089447022,358,154
8,0.3438775510204082,147.96726336479188,358,154
8,0.32551020408163267,235.2335517883301,319,193
8,0.30714285714285716,155.4151086807251,365,147
8,0.28877551020408165,103.68349604606628,356,156
8,0.27040816326530615,80.48592472076416,360,152
8,0.25204081632653064,68.56221761703492,364,148
8,0.23367346938775513,99.69161615371704,357,155
8,0.21530612244897962,76.92957957983018,360,152
8,0.1969387755102041,69.45214495658874,346,166
8,0.1785714285714286,184.34285097122194,360,152
8,0.1602040816326531,98.90384793281555,358,154
8,0.1418367346938776,75.76939485073089,360,152
